SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
189,10.24,20,5,AODV,7.5
190,10.24,20,5,AODV,7.5
191,10.24,20,5,AODV,7.5
192,10.24,20,5,AODV,7.5
193,10.24,20,5,AODV,7.5
194,8.704,17,5,AODV,7.5
195,8.192,16,5,AODV,7.5
196,8.192,16,5,AODV,7.5
197,8.192,16,5,AODV,7.5
198,8.192,16,5,AODV,7.5
199,8.192,16,5,AODV,7.5
